Pos.,Driver,Points,BHR_pos,BHR_note,SAU_pos,SAU_note,AUS_pos,AUS_note,JPN_pos,JPN_note,CHN_pos,CHN_note,MIA_pos,MIA_note,EMI_pos,EMI_note,MON_pos,MON_note,CAN_pos,CAN_note,ESP_pos,ESP_note,AUT_pos,AUT_note,GBR_pos,GBR_note,HUN_pos,HUN_note,BEL_pos,BEL_note,NED_pos,NED_note,ITA_pos,ITA_note,AZE_pos,AZE_note,SIN_pos,SIN_note,USA_pos,USA_note,MXC_pos,MXC_note,SAP_pos,SAP_note,LVG_pos,LVG_note,QAT_pos,QAT_note,ABU_pos,ABU_note
1,Max Verstappen,437,1,PF,1,P,,RetP,1,PF,11,P,21,P,1,P,6,,1,,1,,51,P,2,,5,,4,,2,,6,,5,,2,,31,,6,,14,F,5,,18,,6,
2,Lando Norris,374,6,,8,,3,,5,,26,,1,,2,,4,,2,,2,PF,20,†,3,,2,P,5,,1,PF,3,PF,4,F,1,P,43,P,2,,61,P,6,F,102,F,1,P
3,Charles Leclerc,356,4,,3,F,2,F,4,,44,,32,,3,,1,P,,Ret,5,,117,,14,,4,,3,P,3,,1,,2,P,5,,14,,3,F,53,,4,,25,,3,
4,Oscar Piastri,292,8,,4,,4,,8,,87,,136,F,4,,2,,5,,7,,22,,4,,1,,2,,4,,2,,1,,3,,5,,8,,82,,7,,31,,10,
5,Carlos Sainz Jr.,290,3,,,WD,1,,3,,55,,55,,5,,3,,,Ret,6,,35,,5,F,6,,6,,5,,4,,18,†,7,,22,,1,P,5,Ret,3,,64,,2,
6,George Russell,245,5,,6,,17,†,7,,68,,8,,7,F,5,,3,P,4,,14,,,RetP,8,F,,DSQ,7,,7,,3,,4,,65,,5,,46,,1,P,43,P,5,
7,Lewis Hamilton,223,7,,9,,,Ret,9,,92,,6,,6,,7,F,4,F,3,,46,,1,,3,,1,,8,,5,,9,,6,,6,Ret,4,,10,,2,,126,,4,
8,Sergio Pérez,152,2,,2,,5,,2,,33,,43,,8,,,Ret,,Ret,8,,78,,17,,7,,7,F,6,,8,,17,†,10,,7,,17,,118,,10,,,Ret,,Ret
9,Fernando Alonso,70,9,,5,,8,,6,,7,F,9,,19,,11,,6,,12,,18,F,8,,11,,8,,10,,11,,6,,8,,13,,,Ret,14,,11,,7,,9,
10,Pierre Gasly,42,18,,,Ret,13,,16,,13,,12,,16,,10,,9,,9,,10,,,DNS,,Ret,13,,9,,15,,12,,17,,12,,10,,37,,,Ret,5,,7,
11,Nico Hülkenberg,41,16,,10,,9,,11,,10,,117,,11,,,Ret,11,,11,,6,,6,,13,,18,,11,,17,,11,,9,,88,,9,,,DSQ,8,,7,Ret,8,
12,Yuki Tsunoda,30,14,,15,,7,,10,,,Ret,78,,10,,8,,14,,19,,14,,10,,9,,16,,17,,,Ret,,Ret,12,,14,,,Ret,7,,9,,13,,12,
13,Lance Stroll,24,10,,,Ret,6,,12,,15,,17,,9,,14,,7,,14,,13,,7,,10,,11,,13,,19,,19,†,14,,15,,11,,,DNS,15,,,Ret,14,
14,Esteban Ocon,23,17,,13,,16,,15,,11,,10,,14,,,Ret,10,,10,,12,,16,,18,,9,,15,,14,,15,,13,,18,F,13,,2,,17,,,Ret,,
15,Kevin Magnussen,16,12,,12,,10,,13,,16,,19,,12,,,Ret,12,,17,,8,,12,,15,,14,,18,,10,,,,19,†,117,,7,,,WD,12,,9,,16,F
16,Alexander Albon,12,15,,11,,11,,,Ret,12,,18,,,Ret,9,,,Ret,18,,15,,9,,14,,12,,14,,9,,7,,,Ret,16,,,Ret,,DNS,,Ret,15,,11,
17,Daniel Ricciardo,12,13,,16,,12,,,Ret,,Ret,154,,13,,12,,8,,15,,9,,13,,12,,10,,12,,13,,13,,18,F,,,,,,,,,,,,
18,Oliver Bearman,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,12,,,,,,,
19,Franco Colapinto,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,8,,11,,10,,12,,,Ret,14,,,Ret,,Ret
20,Zhou Guanyu,4,11,,18,,15,,,Ret,14,,14,,15,,16,,15,,13,,17,,18,,19,,,Ret,20,,18,,14,,15,,19,,15,,15,,13,,8,,13,
21,Liam Lawson,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,16,,9,,16,,14,,17,†
22,Valtteri Bottas,0,19,,17,,14,,14,,,Ret,16,,18,,13,,13,,16,,16,,15,,16,,15,,19,,16,,16,,16,,17,,14,,13,,18,,11,,,Ret
23,Logan Sargeant,0,20,,14,,,WD,17,,17,,,Ret,17,,15,,,Ret,20,,19,,11,,17,,17,,16,,,,,,,,,,,,,,,,,,,
24,Jack Doohan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,
